% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=113895, Tue May 11 15:40:03 2021, <python>{}</python>
1 12 1.9629879554026692 1.00004687609865 118.0 1.1800000000000000e+02 198.0 200.0   
2 24 1.898948198342248 1.1431160026683915 118.0 1.2000000000000000e+02 198.0 200.0   
3 36 1.8553222452917946 1.182630353310452 118.0 1.5200000000000000e+02 194.0 200.0   
4 48 1.780401095373899 1.2299168191721341 118.0 1.6400000000000000e+02 198.0 200.0   
5 60 1.7178681538422642 1.2531847221845687 118.0 1.2700000000000000e+02 199.0 200.0   
6 72 1.6642356203174427 1.2695576089081677 97.0 9.7000000000000000e+01 199.0 200.0   
7 84 1.66402705526006 1.2940181702000626 97.0 1.3400000000000000e+02 199.0 200.0   
8 96 1.7061568854551272 1.3756719771956714 97.0 1.8800000000000000e+02 196.0 200.0   
9 108 1.7479832073568766 1.428153001133656 97.0 1.2100000000000000e+02 197.0 200.0   
10 120 1.781027468909459 1.47558461285175 97.0 1.9600000000000000e+02 200.0 200.0   
11 132 1.8087671658705164 1.493452026269985 97.0 1.6800000000000000e+02 198.0 200.0   
12 144 1.928148944306408 1.5327099974995286 97.0 1.7300000000000000e+02 187.0 200.0   
13 156 2.0173539656500123 1.5425223388741685 97.0 1.5100000000000000e+02 195.0 199.0   
14 168 2.1032166178267784 1.6140699699084593 97.0 1.3600000000000000e+02 192.0 199.0   
15 180 2.2675901094263837 1.652684751324999 97.0 1.7500000000000000e+02 195.0 199.0   
16 192 2.313111218443452 1.6745347279910814 97.0 1.4100000000000000e+02 197.0 200.0   
17 204 2.2838040170513523 1.7509885319855014 97.0 1.7100000000000000e+02 193.0 200.0   
18 216 2.341531521132098 1.7756656456267985 97.0 1.8100000000000000e+02 191.0 199.0   
19 228 2.3710010449152485 1.8114153072297707 97.0 1.8400000000000000e+02 193.0 200.0   
20 240 2.3723136203998796 1.807901737648657 97.0 1.4800000000000000e+02 197.0 200.0   
21 252 2.2279868164568755 1.801975935755088 97.0 1.8000000000000000e+02 193.0 200.0   
22 264 2.0805777261018887 1.8410408122595983 97.0 1.4100000000000000e+02 191.0 199.0   
23 276 1.9448383913845775 1.8611655069242112 97.0 1.5700000000000000e+02 192.0 199.0   
24 288 1.86486143312433 1.8267064170380092 97.0 1.7700000000000000e+02 194.0 199.0   
25 300 1.76958385113202 1.8402676445895907 97.0 1.8700000000000000e+02 195.0 200.0   
26 312 1.630833806561014 1.8169772726039601 97.0 1.7500000000000000e+02 196.0 200.0   
27 324 1.565732054254453 1.8074526374157054 97.0 1.1600000000000000e+02 192.0 200.0   
28 336 1.6207604461198148 1.8471742607415762 97.0 1.7400000000000000e+02 195.0 200.0   
29 348 1.564097735205261 1.8718035581530148 97.0 1.6300000000000000e+02 195.0 200.0   
30 360 1.5577660703711795 1.913803847500486 97.0 1.4900000000000000e+02 196.0 200.0   
31 372 1.5427103546625558 1.9456471653694085 97.0 1.8400000000000000e+02 197.0 200.0   
32 384 1.5116713730670936 1.9688981818736802 97.0 1.8300000000000000e+02 193.0 199.0   
33 396 1.4954228887988306 1.9627029452522757 97.0 1.7300000000000000e+02 192.0 200.0   
34 408 1.485315042630636 1.983419622099029 97.0 1.6800000000000000e+02 187.0 200.0   
35 420 1.4714246528319348 2.017020748119345 97.0 1.4800000000000000e+02 197.0 200.0   
36 432 1.446088575858493 2.056184400302187 97.0 1.9100000000000000e+02 199.0 200.0   
37 444 1.3988565826887078 2.060575451538513 97.0 1.9400000000000000e+02 197.0 200.0   
38 456 1.3281883201264175 2.0312813241369416 97.0 1.6100000000000000e+02 191.0 200.0   
39 468 1.2602206008307262 2.0290442204603303 97.0 1.7200000000000000e+02 194.0 200.0   
40 480 1.2085122289048158 2.0606867592282843 97.0 1.4900000000000000e+02 196.0 200.0   
41 492 1.1420146451185 2.046865676374659 97.0 1.8300000000000000e+02 195.0 200.0   
42 504 1.082338312124763 2.0844239993805247 97.0 1.6500000000000000e+02 192.0 200.0   
43 516 1.104783927309025 2.080696064506391 97.0 1.3800000000000000e+02 185.0 200.0   
44 528 1.110592789277589 2.142707962103114 97.0 1.3200000000000000e+02 196.0 200.0   
45 540 1.0763882009363492 2.162303422899954 97.0 1.5500000000000000e+02 194.0 200.0   
46 552 1.0294312026022856 2.1790401102225534 97.0 1.6200000000000000e+02 190.0 199.0   
47 564 0.9895870033606454 2.192498396632235 97.0 1.3900000000000000e+02 192.0 200.0   
48 576 1.010140063324514 2.2170382196811427 97.0 1.6700000000000000e+02 196.0 200.0   
49 588 1.0550841813940595 2.2628232720033816 97.0 1.4200000000000000e+02 188.0 199.0   
50 600 1.1128456109471156 2.355036741556536 97.0 1.2200000000000000e+02 197.0 200.0   
51 612 1.1415544289351263 2.385995808613261 97.0 1.7200000000000000e+02 193.0 199.0   
52 624 1.0775731077077868 2.4126693169874156 97.0 1.8000000000000000e+02 192.0 197.0   
53 636 1.0544269481381456 2.401074655498462 97.0 1.5500000000000000e+02 194.0 200.0   
54 648 1.0120174048457047 2.3717816442482165 97.0 1.0500000000000000e+02 193.0 198.0   
55 660 1.0440276353975808 2.3220984581256134 97.0 1.6500000000000000e+02 192.0 199.0   
56 672 1.085213816116835 2.367110932238492 97.0 1.6800000000000000e+02 190.0 200.0   
57 684 1.1336761103626387 2.488705824739404 97.0 1.2900000000000000e+02 197.0 200.0   
58 696 1.1508421644226896 2.59240092922176 97.0 1.7700000000000000e+02 196.0 200.0   
